URL	Status	Page Title	Meta Description	Followed external links	Total external links	Total links	Meta Keywords	Meta Refresh	Content Length (KB)	Rel Canonical	Rel Author	Rel Alternate (hreflang)	Rel Alternate (media)	Rel Next/Prev	Redirects	Potential Errors	Meta Robots
https://juntechpc.ga/	200	JunTechPC - Computer services and solutions in Aruba	JunTechPC has been providing Computer services &amp; solutions since 2005. We offer affordable, friendly, fast computer repair services to homeowners and small businesses in Aruba.	10	10	10		N/A	28.3603515625	/							N/A
https://juntechpc.ga/about-juntechpc.html	200	JunTechPC -  Computer Maintenance and Repair	JunTechPC is a dedicated and resourceful computer technician with 12+ years&rsquo; extensive experience, in repairing and maintaining Computer hardware, software and peripherals.	14	14	14		N/A	36.1162109375	about-juntechpc.html							N/A
https://juntechpc.ga/TechNews-juntechpc.html	200	JunTechPC - Technology News and Gaming Content &rarr;	JunTechPC Technology News &amp; Gaming Content &rarr;Keep up to date on the latest developments in the Tech and Gaming industry across the globe.	15	15	15		N/A	31.4599609375	TechNews-juntechpc.html							N/A
https://juntechpc.ga/computer-services.html	200	JunTechPC - Computer Repair and Services we Offer!	JunTechPC provide a wide range of professional computer services for home and businesses, Contact us to see how we can help to get you back up and running as quickly as possible. 	9	9	9		N/A	40.892578125	computer-services.html							N/A
https://juntechpc.ga/Contact-juntechpc.html	200	JunTechPC - Contact Us for all your computing needs	Call us for business computer repair or any other computer support you may need.  Find out how JunTechPC can help you manage your business better. Get Your Computer Fixed NOW!	10	10	10		N/A	36.8818359375	Contact-juntechpc.html							N/A
https://juntechpc.ga/blog-juntechpc.html	200	JunTechPC - Gaming and Tech News Blog	JunTechPC - Gaming and Tech News BlogKeep up to date on the latest developments in the Tech and Gaming industry across the globe.	5	5	5		N/A	19.287109375	blog-juntechpc.html							N/A
https://juntechpc.ga/index.html	200	JunTechPC - Computer services and solutions in Aruba	JunTechPC has been providing Computer services &amp; solutions since 2005. We offer affordable, friendly, fast computer repair services to homeowners and small businesses in Aruba.	10	10	10		N/A	28.3603515625	/							N/A
https://juntechpc.ga/our-services.html	200	Services we provide - JunTechPC Computer Services	JunTechPC offer a comprehensive computer repair service for businesses and residential PCs, to get you back up and running as quickly as possible. 	5	5	5		N/A	38.78125	our-services.html							N/A
https://infinityfree.net/errors/404/	200	404 Page Not Found - InfinityFree	Free Web Hosting with Unlimited Disk Space, Unlimited Bandwidth and Unlimited Websites from InfinityFree. With PHP and MySQL and no forced ads on your site.	8	9	9		N/A	9.8251953125	https://infinityfree.net/errors/404/					 (https://juntechpc.ga/about-us.html : 302) 		N/A
https://infinityfree.net/errors/404/	200	404 Page Not Found - InfinityFree	Free Web Hosting with Unlimited Disk Space, Unlimited Bandwidth and Unlimited Websites from InfinityFree. With PHP and MySQL and no forced ads on your site.	8	9	9		N/A	9.82421875	https://infinityfree.net/errors/404/					 (https://juntechpc.ga/Tech-news.html : 302) 		N/A
https://juntechpc.ga/Contact-us.html	200	Contact Us - JunTechPC For all your computing needs.	JunTechPC Quality repair service provided by experienced and specialized technician. Get Your Computer Fixed NOW!	5	5	5		N/A	32.857421875	Contact-us.html						Multiple h1 tags	N/A
https://infinityfree.net/errors/404/	200	404 Page Not Found - InfinityFree	Free Web Hosting with Unlimited Disk Space, Unlimited Bandwidth and Unlimited Websites from InfinityFree. With PHP and MySQL and no forced ads on your site.	8	9	9		N/A	9.8251953125	https://infinityfree.net/errors/404/					 (https://juntechpc.ga/index.txt : 302) 		N/A
https://infinityfree.net/errors/404/	200	404 Page Not Found - InfinityFree	Free Web Hosting with Unlimited Disk Space, Unlimited Bandwidth and Unlimited Websites from InfinityFree. With PHP and MySQL and no forced ads on your site.	8	9	9		N/A	9.82421875	https://infinityfree.net/errors/404/					 (https://juntechpc.ga/technews.html : 302) 		N/A
